Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Business_Summary,Market_Cap,Exchange
ALPHAGEO,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,"Alphageo (India) Limited engages in the provision of geophysical seismic data acquisition, processing, and interpretation services for exploration of hydrocarbons and minerals in India. The company offers seismic data acquisition services, such as designing and preplanning of 2D, 3D, 4D, and 3C surveys; seismic data processing of data, reprocessing, special processing, including pre-stack imaging, and AVO inversion; and structural and stratigraphic interpretation, generation, evaluation and ranking of prospects, and evaluation of blocks for exploration. It also provides consultancy on 3D, 4D, and 3C surveys; EM and GM services API; reservoir data acquisition; reservoir analysis; tape transcription and digitization of hard copies of maps, seismic sections and well logs into CGM, SEGY, and LAS formats; third party QC for acquisition and processing; topographic surveys with GPS and RTK; airborne surveys for mineral exploration; and geophysical mapping surveys through gravity and magnetic methods for identification of potential areas from mineral prognostication point of view. The company was incorporated in 1987 and is headquartered in Hyderabad, India.",1160424320.0,NS
ARE&M,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,"Amara Raja Energy & Mobility Limited, together with its subsidiaries, manufactures and sells lead-acid storage batteries for industrial and automotive applications in India and internationally. It operates in two segments, Lead Acid and Allied Products, and Others. The company provides new energy business related products; installation, commissioning, and maintenance services; and industrial chargers, integrated power systems for Indian Railways, electric vehicle chargers for 2W, 3W, 4W, and bus segment applications, as well as battery energy storage systems. It also develops, manufactures, and sells energy storage and management products, solutions, and technologies related to lithium cells, advanced cell chemistries, battery packs, and components. The company sells its batteries under the Amaron, PowerZone, Power Stack, AmaronVolt, Amaron Brute, Amaron Sleek, Amaron Elito, and Quanta brands. It exports its products to various countries in the Indian Ocean Rim. The company supplies its batteries to various customer groups, such as telecom, railways, solar, motive, power control, international operations, defence, and UPS; and automobile original equipment manufacturers, replacement markets, and private label customers. The company was formerly known as Amara Raja Batteries Limited and changed its name to Amara Raja Energy & Mobility Limited in September 2023. Amara Raja Energy & Mobility Limited was incorporated in 1985 and is based in Hyderabad, India.",143663251456.0,NS
AMBER,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,"Amber Enterprises India Limited provides room air conditioner solutions in India. It designs and manufactures a range of room air conditioners (RACs), including window air conditioners, indoor units, and outdoor units of split air conditioners; and inverter RACs. The company also offers functional components of RACs, such as heat exchangers, motors, and multi-flow condensers; and other RAC components comprise sheet metal components, copper tubing, plastic extrusion, vacuum forming, and injection molding components. In addition, it manufactures components for other consumer durables and automobiles, such as case liners for refrigerators and plastic extrusion sheets; sheet metal components for microwaves; and washing machine tub assemblies, as well as extrusion components for the automobile and metal ceiling industries. Further, the company provides mobile air conditioners for railways, metro trains, buses, defense, and other establishments. It also exports its products. Amber Enterprises India Limited was incorporated in 1990 and is headquartered in Gurugram, India.",241062920192.0,NS
ALKYLAMINE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,"Alkyl Amines Chemicals Limited manufactures and supplies amines, amine derivatives, and other specialty chemicals in India and internationally. The company offers aliphatic amines, such as methylamines, ethylamines, isopropylamines, n-propylamines, n-butylamines, ethylhexylamines, furfurylamines, and cyclohexylamines; and amine derivatives, including dimethylamine hydrochloride, diethylamine hydrochloride, triethylamine hydrochloride, 3-ethoxy propylamine, 3-(methylaminopropyl) amine, dimethylaminopropylamine, 3-(2-ethylhexyloxy) propylamine, n-methylbenzylamine, diisopropyl ethylamine, diethylhydroxylamine, diethyl toluamide, and diethylphenyl acetamide. It also provides specialty chemicals comprising acetonitrile, 1,8-diazabicyclo[5.4.0]undec-7-ene, diethylketone/3-pentanone, alchan 100, alchan 300, 2-aminoethoxy ethanol, 2-ethoxy ethylamine, dimethylpropyleneurea, tetramethyl ethylenediamine, monomethylamine, and tempo free radical. The company serves pharmaceutical, agro-chemicals, water treatment chemicals, rubber chemicals, and other industries. Alkyl Amines Chemicals Limited was incorporated in 1979 and is headquartered in Navi Mumbai, India.",69049581568.0,NS
AMBIKCO,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,"Ambika Cotton Mills Limited engages in the manufacturing and sale of cotton yarns, waste cotton, and knitted fabrics in India, Europe, Africa, North America, and other Asian countries. It operates windmills with an installed capacity of 27.4 MW in Tirunelveli, Dharapuram, and Theni in the State of Tamil Nadu; and roof top solar power with installed capacity of 8.33 MW in Dindigul and Kanniyapuram for renewable energy. The company serves the manufacturers of shirts and T-shirts. Ambika Cotton Mills Limited was incorporated in 1988 and is headquartered in Coimbatore, India.",7424604160.0,NS
ALIVUS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"Alivus Life Sciences Limited develops, manufactures, and markets active pharmaceutical ingredients in India, Japan, Europe, North and Latin America, and internationally. It offers various APIs, such as olmesartan, telmisartan, solifenacin, sitagliptin, zonisamide, rosuvastatin, amiodarone, ezetimibe, lithium carbonate, oxcarbazepine, mirabegron, atovaquone, etoricoxib, remogliflozin, cabozantinib, and palbociclib for various therapeutic areas, including cardiovascular disease, central nervous system disorders, diabetes, gastrointestinal health, oncology, pain management, immunosuppressant, respiratory and ophthalmologic agents, urology, and anti-infectives. The company also provides contract development and manufacturing services to a range of multinational corporations and specialty companies. It exports its products. The company was formerly known as Glenmark Life Sciences Limited and changed its name to Alivus Life Sciences Limited in December 2024. The company was founded in 2001 and is based in Mumbai, India. Alivus Life Sciences Limited is a subsidiary of Nirma Limited.",115920232448.0,NS
AMBUJACEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,"Ambuja Cements Limited, together with its subsidiaries, manufactures, markets, and sells cement and related products to individual homebuilders, developers, infrastructure projects, masons and contractors, professionals, and architects and engineers in India. It offers Portland pozzolana cement and ordinary Portland cement, as well as temperature resistant concrete blocks, Blaine Portland cement, and micro materials. The company was formerly known as Gujarat Ambuja Cements Limited and changed its name to Ambuja Cements Limited in April 2007. The company was incorporated in 1981 and is based in Ahmedabad, India. Ambuja Cements Limited was formerly a subsidiary of Holderind Investments Ltd.",1090692055040.0,NS
ANANDRATHI,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,"Anand Rathi Wealth Limited provides financial advisory, brokerage, and consultancy services in India. The company offers wealth solutions, including investment planning and risk management solutions. It also operates Omni Financial Advisor, a technology platform for mutual fund distributors and independent financial advisors, which include client reporting, business dashboard, client engagement, online mutual fund transactions, and goal planning products. It serves high net-worth individuals and ultra-high net-worth individuals. The company was formerly known as Anand Rathi Wealth Services Limited and changed its name to Anand Rathi Wealth Limited in January 2021. Anand Rathi Wealth Limited was founded in 1994 and is based in Mumbai, India.",254391435264.0,NS
AMRUTANJAN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"Amrutanjan Health Care Limited manufactures, supplies, and sells ayurvedic pain balms and women hygiene products in India and internationally. It operates through OTC Products, Beverages, Women's Hygiene, and Others segments. The company provides pain management products comprising pain balms and roll-ons, back pain roll-ons, stick-on patch, and joint muscle sprays; dental pain gel; and decorn corn caps; hand sanitizer under the NOGerms brand name; and fruit and rehydration juice drinks under the Fruitnik brand name. The company also offers congestion management products that consists of cold rubs, cough syrups, nasal inhalers, and swas mints, as well as provides sanitary napkins for women. In addition, it operates a pain management center. The company was formerly known as Amrutanjan Limited and changed its name to Amrutanjan Health Care Limited in 2007. Amrutanjan Health Care Limited was founded in 1893 and is based in Chennai, India.",14978911232.0,NS
ANANTRAJ,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects","Anant Raj Limited is primarily engaged in the real estate and infrastructure development business in India. It develops and constructs residential townships, group housings, commercial developments, information and technology parks, malls, office complexes, affordable housings, data centres, hospitality, and serviced apartments. The company was formerly known as Anant Raj Industries Limited and changed its name to Anant Raj Limited in October 2012. The company was founded in 1969 and is headquartered in New Delhi, India.",169522937856.0,NS
APCL,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,"Anjani Portland Cement Limited manufactures and trades in cement in India. It operates through the Cement and Power Plant segments. The company offers Ordinary Portland, Portland Pozzolana, rapid hardening Portland, and composite cement. It is also involved in the power generation activities. The company was formerly known as Shez Cement Limited and changed its name to Anjani Portland Cement Limited in October 1999. The company was incorporated in 1983 and is based in Hyderabad, India. Anjani Portland Cement Limited is a subsidiary of Chettinad Cement Corporation Private Limited.",3365760512.0,NS
AWHCL,Utilities,Utilities,Other Utilities,Waste Management,"Antony Waste Handling Cell Limited, together with its subsidiaries, engages in the provision of waste management related services in India. The company offers waste management solutions, such as mechanised and non-mechanised sweeping; municipal waste collection and transportation; waste processing and treatment; construction and demolition waste management; and waste to energy. It also provides deep cleaning and pest control services for residential, commercial, and industrial spaces. In addition, the company designs, constructs, operates, and maintains integrated waste management facilities. Antony Waste Handling Cell Limited was founded in 2000 and is based in Thane, India.",12675048448.0,NS
ANUHPHR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"Anuh Pharma Limited engages in the manufacture and sale of bulk drugs and chemicals in India. It offers active pharmaceutical ingredients, including macrolides, anti-TB, anti-bacterial, anti-asthmatics, anti-diabetics, intermediates, expectorant, quinolones, anti-malarial, anti-gout, anti-biotic, anti-platelet, and antihistamines; and corticosteroids, including anti-inflammatory, immunosuppressant, anti-pruritic, anti-mitotic. The company also develops products, such as coagulants, gastrointestinal, anti convulsants, and cholesterol drugs. It also exports its products. The company was incorporated in 1960 and is headquartered in Mumbai, India.",7752626688.0,NS
ANURAS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,"Anupam Rasayan India Ltd engages in the custom synthesis and manufacturing of specialty chemicals in India, Europe, Japan, Singapore, China, North America, and internationally. It operates through two segments: Life Science related Specialty Chemicals and Other Specialty Chemicals. The company offers life science related specialty chemicals, such as agro intermediates and agro active ingredients for the agrochemicals industry; anti-bacterial and ultraviolet protection intermediates and ingredients for the personal care industry; and intermediates and key starting materials for active pharmaceutical ingredients. It provides other specialty chemicals used in various end-user segments, including specialty pigments, specialty dyes, and polymer additives. The company was incorporated in 1984 and is headquartered in Surat, India.",141397966848.0,NS
APARINDS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,"APAR Industries Limited engages in the electrical and metallurgical engineering business in India and internationally. It operates through Conductor, Transformer & Specialties Oils, Power/Telecom Cables, and Others segments. The company offers transformer oils, including naphthenic and iso--paraffinic grades; liquid paraffins that are used in baby oil, medical and pharma, cosmetic, food packaging and coating, personal care, bakery, and plastic industries; petroleum jelly for use in personal care, pharmaceutical formulations, dermatological and ophthalmic formulations, battery terminal compounds, release agents for plaster molds and castings, and leather industries; process oils for rubber and tires, EPDM rubber/profiles, low PCA oils, TPE and plastics, hot melt adhesives, ink oils, and base oils for metal working fluids; and process oils for general applications. It also provides CTC/PICC conductors, railway overhead conductors, T&D overhead conductors, optical ground wires, aluminum and alloy rods, specialty wires, and turnkey solutions, as well as copper rods, wires, busbars, and strips; and electrical cables, elastomer and E-beam cables, light duty cables and wires, fiber optic cables, and specialty products and services. In addition, the company offers gigavolt hybrid, LAN, and specialty cables; thermoplastic elastomers, vulcanizates, polyurethane, rubber, and polyester base elastomer under the Aparprene brand; general, metal working, and automotive lubricants; and specialty automotive products comprising batteries and lubricants, and battries and lubricants, power oils, as well as vehicle care services. It provides its products and services to applications in various fields, including power transmission conductors, petroleum specialty oils, power and telecommunication cables, and house wires. The company also exports its products. Apar Industries Limited was founded in 1958 and is headquartered in Mumbai, India.",385991180288.0,NS
APCOTEXIND,Industrials,Capital Goods,Industrial Products,Rubber,"Apcotex Industries Limited produces and sells synthetic emulsion polymers in India and internationally. The company offers synthetic latexes, such as carboxylated styrene butadiene, styrene acrylic, vinyl pyridine, XNB and XSB latexes, and nitrile latexes; and synthetic rubber, including nitrile butadiene, NBR powder, nitrile polyblend, and high styrene rubber products. Its synthetic latexes are used in paper/paperboard coating, carpet backing, tyre cord dipping, construction, and medical/industrial gloves; and synthetic rubber for use in various applications comprising automotive components, hoses, gaskets, rice Dehusking rollers, printing and industrial rollers, friction materials, belting, and footwear. The company was formerly known as Apcotex Lattices Limited and changed its name to Apcotex Industries Limited in 2005. Apcotex Industries Limited was founded in 1980 and is based in Mumbai, India.",17786062848.0,NS
AMNPLST,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,"Amines & Plasticizers Limited manufactures and sells specialty chemicals in India. The company offers alkyl alkanol amines, including methyl monoethanolamine, methyl diethanolamine, di-methyl ethanolamine, di-ethyl ethanolamine, ethyl monoethanolamine, ethyl diethanolamine, mono-n-propyl monoethanolamine, mono-n-propyl diethanolamine, mono-n-butyl ethanolamine, mono-n-butyl diethanolamine, di-butyl ethanolamine, poly ethanolamine, tertiary butyl monoethanolamine, and tertiary butyl diethanolamine. It also offers alkanolamines, such as triisopropanolamine, monoethanolamine, diethanolamine, triethanolamine-tech, triethanolamine-pure, and diethanolamine LFG products, as well as morpholine and substituted morpholines comprising morpholine, N-methyl morpholine, N-methyl morpholine oxide, N-ethyl morpholine, N-formyl morpholine, hydroxy ethyl morpholine, N-acetyl morpholine, and N-butyl morpholine. In addition, the company provides specialty ethylene oxide/propylene oxide products that include 2-phenoxy ethanol, 1-piperidine ethanol, diethanol isopropanolamine, N-2 hydroxy ethyl pyrrolidine, and N-benzyl ethanolamine, as well as ethylene oxide/propylene oxide derivatives, such as polypropylene glycol, polyethylene glycol, APOL, amine polyols, glycerol polyol, polyethylene glycol adipates, sorbitol mixture ethoxylates, and alcohol ethoxylates. Further, it offers gas treating products and technologies, such as generic amines, MDEA based specialty amines, and specialty additives, as well as antifoaming agents for gas treating applications. The company serves the pharmaceutical; textile; paints, coatings, printing inks, polyurethanes, metal working fluids, and corrosion inhibitors; agro chemicals; rubber industries and mold releasing agents; photographic chemicals; cement; cosmetic; oil field; acid gas treating; and molecular sieves industries. It also exports its products. Amines & Plasticizers Limited was founded in 1970 and is headquartered in Mumbai, India.",8229341696.0,NS
APEX,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood,"Apex Frozen Foods Limited engages in the farming, processing, production, and sale of shrimps in India. It provides ready-to-cook whiteleg and black tiger shrimps, which include head on and whole, headless and shell-on, easy peel, peeled, and cooked peeled & deveined-tail-on, cooked in shell, dusted and breaded, par-fried, butterfly, skewered, seasoned, peeled and deveined-tail-on, peeled and un-deveined-tail-on, peeled and deveined-tail-off, peeled and un-deveined, and peeled and deveined shrimps, as well as shrimp rings. The company offers ready-to-cook products under Bay Fresh, Bay Harvest, and Bay Premium brand names to food companies, retail chains, restaurants, club stores, and distributors. It exports its products to the United States, the European Union, and China. Apex Frozen Foods Limited was founded in 1995 and is based in Kakinada, India.",11581897728.0,NS
APLAPOLLO,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,"APL Apollo Tubes Limited manufactures and sells structural steel tubes in India. The company offers structural tubes for construction, automotive, machinery, furniture, etc. applications; galvanized iron products for industrial and agricultural applications; tricoat pipes, designer pipes, and door frames; black round tubes used in plumbing systems of buildings; pre galvanized sections of square, rectangular, and circular tubes used for roofing structure; and ready-made and color coated chaukhat, steel building, and fencing solutions. It also exports its products. The company was formerly known as Bihar Tubes Limited and changed its name to APL Apollo Tubes Limited in 2010. APL Apollo Tubes Limited was incorporated in 1986 and is headquartered in Noida, India.",559123857408.0,NS
ANGELONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,"Angel One Limited provides broking and advisory services, margin funding, and financial products to its clients in India and internationally. The company provides equity, commodities, derivatives, and currency derivative products. It also manages client's securities in the electronic form; facilitates clients in applying for initial public offerings; and provides funds to investors for trading. In addition, the company offers insurance, mutual funds, sovereign gold bonds, and credit products; and investment advice and market research services, as well as educates clients on financial markets and investing strategies. Further, it provides portfolio management, trading account, initial public offering, and DEMAT account services. The company operates through Angel One Super App, Angel One Trade, and Smart API investing and trading platforms. It serves resident and non-resident individuals, salaried professionals, high net worth individuals, Hindu undivided Families, corporates and trusts, partnership firms and LLP, and co-operative societies. The company was formerly known as Angel Broking Limited and changed its name to Angel One Limited in September 2021. Angel One Limited was incorporated in 1996 and is based in Mumbai, India.",214727933952.0,NS
APOLLOHOSP,Healthcare,Healthcare,Healthcare Services,Hospital,"Apollo Hospitals Enterprise Limited, together with its subsidiaries, provides healthcare services in India. It operates through Healthcare Services, Retail Health & Diagnostics, Digital Health & Pharmacy Distribution, and Others segments. The company's healthcare facilities comprise primary, secondary, and tertiary care, as well as specialty facilities. It offers services in cardiac sciences, oncology, neurosciences, gastroenterology, orthopedics, urology, organ transplantation, pulmonology, obstetrics and gynecology, internal medicine, vascular surgery, pediatrics, cosmetology, emergency medicine, bariatric surgery, general surgery, colorectal surgery, dentistry, nephrology, dermatology, endocrinology, preventive medicine, interventional radiology, ophthalmology, and integrative medicine, as well as robotic surgery and genomics. The company also provides project consultancy, medical educational institutes, Medvarsity for e-learning, and research services, as well as acts as an agent for life, general, and health insurance. In addition, it operates hospitals, pharmacies, primary care clinics, and diagnostic centers; short stay facilities, boutique birthing centers, multi-specialty clinics, dental and dialysis facilities, and preventive care; day surgery, diabetes management, and cradle and fertility centers; and Apollo 24/7, a digital health mobile platform that provides teleconsultations, online pharmacy deliveries, home diagnostics, and insurance services. Further, the company engages in the business of bio-banking of tissues. It serves patients, corporate clients, and the government and public sectors. Apollo Hospitals Enterprise Limited was incorporated in 1979 and is based in Chennai, India.",1074215190528.0,NS
APOLLOPIPE,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,"Apollo Pipes Limited manufactures and trades in polyvinyl chloride (PVC) pipes and fittings in India. The company offers cPVC, uPVC, and PPR-C plumbing systems; uPVC pressure pipes and fittings; HDPE PLB duct pipes and MDPE and HDPE gas piping system; HDPE uPVC SWR drainage system; and HDPE pipes, coils, and sprinkler systems. It also provides underground drainage uPVC column Pipes, PVC-O, garden, and casing pipes; water tanks, solvent cement, and kitchen sink. In addition, the company offers bath fittings, which include faucets, showers, health faucets, cistern, seat covers, accessories, and allied products. It provides its products to agriculture, water management, construction, infrastructure, and telecom ducting industries. Apollo Pipes Limited was incorporated in 1985 and is headquartered in Noida, India.",17726117888.0,NS
APOLLOTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,"Apollo Tyres Limited manufactures and sells automotive tires, tubes, and flaps in India and internationally. It offers commercial, passenger vehicles, two-wheelers, industrial, trucks and buses, off highway vehicals, light trucks, agricultural, earthmover, and bicycle tyres. The company provides its products under the Apollo Tyres and Vredestein brands. Apollo Tyres Limited was incorporated in 1972 and is headquartered in Gurugram, India.",265836822528.0,NS
APTUS,Financial Services,Financial Services,Finance,Housing Finance Company,"Aptus Value Housing Finance India Limited, together with its subsidiary, Aptus Finance India Private Limited, provides housing finance solutions in India. The company offers home and quasi-home loans for the purchase, construction, renovation, and extension of houses; loans against property for construction and purchase of houses; and secured, small business, and refinance loans. It also provides life, credit shield, and property insurance products. The company serves individual homebuyers; low and middle income salaried and self-employed individuals; and first-time homeowners from rural and semi-urban areas. Aptus Value Housing Finance India Limited was incorporated in 2009 and is headquartered in Chennai, India.",109752786944.0,NS
ACI,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,"Archean Chemical Industries Limited manufactures and sells specialty marine chemicals in India and internationally. It offers bromine for use in pharmaceuticals, agrochemicals, flame retardants, and water treatment products, as well as oil and gas, and energy storage industries; industrial salt for chloralkali chemical, food and beverage, water treatment, and oil and gas industries; and sulphate of potash, an inorganic salt for agrochemicals, medical, glass, cosmetics, and medical users industries. The company was founded in 2003 and is based in Chennai, India.",71025614848.0,NS
ARCHIDPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,"Archidply Industries Limited manufactures and sells wood and paper based products in India and internationally. It operates through Plywood & Allied Products, Laminate & Allied Products, and Medium Density Fibre Board segments. The company offers plywood products; flush and laminated doors; densified film face plywood; clads; interior grade, unicore, digital, and sandwich compacts; insulator panels and paper phenolic laminates; extreme density high moisture resistance plain and laminated products; PVC, WPC, and hybrid WPC boards; and medium density fibreboards, including interior grade, exterior grade, and pre lam. It also provides exterior grade, high pressure, postforming, ani-fingerprint, anti-bacterial, magnetic, digital, unicore, fire retardant, marker board, chalk board, switch board, and liner laminates. The company was founded in 1976 and is based in New Delhi, India.",1429212032.0,NS
ARIES,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,"Aries Agro Limited, together with its subsidiaries, engages in the manufacture and supply of micronutrients and other nutritional products for plants and animals. It offers plant protection, aqua culture and animal nutrition, water soluble NPK, organic and bio, high density input, crop specific, slow-release fertilizer pastilles, and other products, as well as nutrients for urban farms and gardens. The company also manufactures and sells chilly and spices, millets, teamin, soymin, coffeemin, maize, cotton, paddy, and betel vine special products; aries pro  calcium chloride products; farm equipment and machinery; and mineral feed supplements. In addition, it provides hydroponics and consultancy services. Aries Agro Limited operates in India, Nepal, Brazil, the Philippines, the United Arab Emirates, Taiwan, Australia, Nigeria, New Zealand, and internationally. The company was incorporated in 1969 and is headquartered in Mumbai, India.",4364256256.0,NS
PARKHOTELS,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,"Apeejay Surrendra Park Hotels Limited owns and operates hotels in India. The company operates hotels under THE PARK, THE PARK Collection, Zone by The Park, Zone Connect by The Park, and Stop by Zone brand names. It also operates restaurants, night clubs, bars, cafes, and kiosks under the Flurys brand name. The company was formerly known as Budget Hotels Limited and changed its name to Apeejay Surrendra Park Hotels Limited in March 2004. Apeejay Surrendra Park Hotels Limited was founded in 1967 and is based in New Delhi, India.",24038742016.0,NS
ARIHANTSUP,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects","Arihant Superstructures Limited operates as a real estate development company in India. The company develops residential properties, including residences and apartments. The company was formerly known as Shaktiman Constructions Limited and changed its name to Arihant Superstructures Limited in August 2009. Arihant Superstructures Limited was incorporated in 1983 and is based in Navi Mumbai, India.",9584691200.0,NS
ARKADE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects","Arkade Developers Limited operates as a real estate development company in India. It is involved in the development/construction of residential premises on acquired land; greenfield development and redevelopment of existing premises; and identification, acquisition of land. The company also plans, executes, constructs, and markets commercial and residential projects. In addition, it has projects in Mumbai and Thane in Maharashtra, India. Arkade Developers Limited was incorporated in 1986 and is based in Mumbai, India.",19789883392.0,NS
ARMANFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),"Arman Financial Services Limited, together with its subsidiary, operates as a non-banking finance company in India. The company offers micro, small, and medium enterprise loans; two wheeler loans; and micro finance loans as well as individual business loans and loan against property. The company was formerly known as Arman Lease and Finance Limited and changed its name to Arman Financial Services Limited in November 2008. Arman Financial Services Limited was incorporated in 1992 and is headquartered in Ahmedabad, India.",15626405888.0,NS
ARTEMISMED,Healthcare,Healthcare,Healthcare Services,Hospital,"Artemis Medicare Services Limited engages in the management and operation of multi-specialty hospitals in India and internationally. The company provides medical and surgical intervention, and inpatient and outpatient services. It also offers billing and insurance, childcare, emotional and support program, full body checkup, international patient, medical interpreter and record, mind body medicine, nursing, nutrition, patient and family advisory, patient advocacy and portal, pre-admission testing, and smoking cessation program services, as well as home care services. Artemis Medicare Services Limited was incorporated in 2004 and is based in Gurugram, India.",,NS
ARVIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,"Arvind Limited, together with its subsidiaries, manufactures, markets, retails, supplies, and exports textiles in India and internationally. It operates through Textiles, Advanced Material, and Others segments. The company offers denim fabrics, woven and knitted fabrics, and voiles and garments products. It also provides a range of specialized clothing and accessories for factory workers, fire-fighters, construction crew, soldiers, and healthcare and security personnel; hot-gas and liquid filtration products; automotive interiors and seating solutions; and composites and coated fabrics. In addition, the company offers water treatment, industrial waste water, and sewage treatment solutions for industries, as well as zero liquid discharge solutions. Further, it is involved in the e-commerce, agriculture produce, engineering, telecommunication, technical textiles, and other businesses, as well as provision of EPABX and one to many radio solutions; and building residential, commercial, and industrial spaces. Arvind Limited was founded in 1897 and is headquartered in Ahmedabad, India.",95724273664.0,NS
APOLLO,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Apollo Micro Systems Limited designs, develops, and assembles electronic and electromechanical solutions in India. The company offers DSP, missile hardware simulators, integrated avionics modules, generic PCM encoders and decoders, DSSS de-modulators, seeker electronics, RPF and signal processing systems, turret control and power units, missile interface units, launcher controllers, launcher interface units, tiger sharc DSP-signal processors, quad actuator controllers, fault tolerant and system relay boxes, and DSP controllers; ESM-eagle kit, embedded arss, PSU, and auxiliary controllers; and integrated payload checkout systems, satellite data simulators, high speed frame synchronizers, time code readers/generators, bit synchronizers, monopulse tracking receivers, PCIE-HSDR, PCM-two channel decommutators, PCIe based two channel data acquisition cards, and PCI-X based two channel serial data acquisition cards. It also provides avionics and transportation solutions; public address display systems, warning systems, vehicle tracking solutions and command control solutions, minemaster, weight-in-motion systems, tyre care, passenger information systems, and station announcement systems; ethernet, base band modules, converters, USB/Ethernet protocol converters, dual data bus couplers, data bus solutions, and various formulas; and solar smart street lighting, CCTV surveillance, vehicle tracking, boom barrier, RFID fleet management, UAV detecting and jamming, GSM interception, Wi-Fi and lawful interception, and portable x-ray inspection systems, as well as passenger information displays, wall radar, reactive convoy and stationary jammers, and portable and stationary bomb jammers. In addition, the company offers electronic manufacturing, hardware design, IT and software, and electronic and mechanical CAD services. Apollo Micro Systems Limited was incorporated in 1985 and is based in Hyderabad, India.",77582196736.0,NS
ARVSMART,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects","Arvind SmartSpaces Limited, together with its subsidiaries, engages in the development of real estate projects in India. The company develops residential, commercial, industrial, and hospitality projects, including villa townships, apartment complexes, plotted developments, commercial hubs, and industrial parks. It serves individual retail clients and corporate entities. The company was formerly known as Arvind Infrastructure Limited and changed its name to Arvind SmartSpaces Limited in November 2016. Arvind SmartSpaces Limited was incorporated in 2008 and is headquartered in Ahmedabad, India.",25158039552.0,NS
ASHAPURMIN,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,"Ashapura Minechem Limited is involved in the mining, manufacturing, and trading of various minerals and its derivative products in India and internationally. The company provides bauxite, bentonite, kaolin, silica sand, limestone, and gypsum for aluminium, foundry, cosmetics, metal ore, pelletization, construction, and paper applications. It also offers fused alumina, high alumina cement, castables, calcined bauxite, chamotte, mullite, and monoliths for abrasives, refractories, foundries, grinding, and road surfacing. In addition, the company offers ceramic and silica proppants, bentonite, barytes, and attapulgite for use in oil well drilling and hydraulic fracturing; acid activated bleaching clay, activated bauxite, clay catalysts, cat litter, and siliceous earth for bleaching edible oil, petroleum refining, water purification, pet care, and bleaching waste oils; ground calcium carbonate, calcined kaolin, white barytes, and talc for ceramics, glass, paper, paints, plastics, and building products sectors; and atta medigel, ashagel, and organoclay for use in sealants, plasters, polymers, aviation fuel enhancers, and pharmaceutical applications. Further, it offers ball clay, wall care, water proofing, adhesives, and admixture. The company was founded in 1960 and is based in Mumbai, India.",48436506624.0,NS
ASHIANA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects","Ashiana Housing Limited, through its subsidiaries, engages in the real estate development business in India. The company develops comfort, senior living, kid centric, elite, premium, and care homes. It also provides rental and resale services for properties; and operates hotels and clubs, which includes rooms, food and beverages, restaurant, banquets, and other allied services. The company was founded in 1979 and is headquartered in New Delhi, India.",31057156096.0,NS
